"","shrid2","first_park_year","treated_pc11_village_town_id","first_park_id"
"2304","11-33-620-05814-803707",1968,"803707",7901
"2305","11-33-621-05819-639297",1975,"639297",4441
"2306","11-33-621-05819-639361",1974,"639361",7909
"2307","11-33-621-05821-639417",99,"639417",NA
"2308","11-33-621-05821-639446",1974,"639446",7256
"2309","11-33-621-05821-639447",99,"639447",NA
"2310","11-33-622-05832-640255",99,"640255",NA
"2311","11-33-622-05832-640270",1966,"640270",5436
"2312","11-33-622-05833-640393",1993,"640393",8048
"2313","11-33-623-05837-803745",2007,"803745",4136
"2314","11-33-623-05841-641037",1966,"641037",5414
"2315","11-33-623-05841-641066",1960,"641066",8060
"2316","11-33-624-05844-803769",1963,"803769",5425
"2317","11-33-624-05846-641147",1994,"641147",5409
"2318","11-33-624-05846-641151",2017,"641151",8042
"2319","11-33-625-05847-641208",1995,"641208",4422
"2320","11-33-625-05853-641700",1958,"641700",7914
"2321","11-33-626-05856-641907",1993,"641907",8049
"2322","11-33-626-05856-803805",1976,"803805",5433
"2323","11-33-626-05860-642137",1993,"642137",5427
"2324","11-33-626-05860-642163",99,"642122",NA
"2325","11-33-627-05862-642241",1962,"642241",8000
"2326","11-33-627-05866-642477",1984,"642477",8005
"2327","11-33-627-05869-642598",2016,"642598",8004
"2328","11-33-628-05871-642705",2016,"642705",4421
"2329","11-33-628-05873-642748",1992,"642748",4418
"2330","11-33-628-05876-803860",1959,"803860",8003
"2331","11-33-628-05879-643036",99,"643036",NA
"2332","11-33-628-05880-803877",2005,"803877",8007
"2333","11-33-629-05881-643116",1964,"643116",8002
"2334","11-33-629-05881-803891",99,"803891",NA
"2335","11-33-629-05884-803927",1964,"803927",7999
"2336","11-33-630-05885-643283",2009,"643283",5394
"2337","11-33-630-05886-643348",2017,"643348",8013
"2338","11-33-630-05888-643566",2009,"643566",7979
"2339","11-33-630-05888-643594",1965,"643594",7972
"2340","11-33-630-05889-643640",2014,"643640",7980
"2341","11-33-631-05890-643762",99,"643762",NA
"2342","11-33-631-05890-643793",99,"643793",NA
"2343","11-33-631-05890-643848",1974,"643848",7251
"2344","11-33-631-05890-803951",1999,"803951",4394
"2345","11-33-631-05891-643924",2009,"643924",7907
"2346","11-33-631-05891-643927",2009,"643927",5472
"2347","11-33-631-05891-643998",1965,"643998",7904
"2348","11-33-631-05894-644223",99,"644223",NA
"2349","11-33-631-05894-644250",99,"644250",NA
"2350","11-33-631-05894-803959",1995,"803959",7908
"2351","11-33-632-05896-644378",99,"644378",NA
"2352","11-33-632-05897-803969",99,"803969",NA
"2353","11-33-632-05897-803976",99,"803976",NA
"2354","11-33-632-05898-803989",1972,"803989",7903
"2355","11-33-632-05898-803992",99,"803992",NA
"2356","11-33-632-05898-803998",1994,"803998",7993
"2357","11-33-633-05901-644609",2011,"644610",7995
"2358","11-33-633-05903-644762",99,"644762",NA
"2359","11-33-633-05903-804023",1995,"804023",7964
"2360","11-33-633-05904-644796",1980,"644796",4425
"2361","11-33-633-05904-804026",1978,"804026",7996
"2362","11-33-633-05905-644811",1993,"644811",7991
"2363","11-33-633-05905-644813",2006,"644813",4129
"2364","11-33-633-05907-644890",1992,"644890",7992
"2365","11-34-635-05911-644940",99,"644940",NA
"2366","11-34-635-05911-644942",99,"644942",NA
"2367","11-34-635-05912-644971",99,"644971",NA
"2368","11-34-635-05912-644979",99,"644979",NA
"2369","11-34-637-05914-644983",99,"644983",NA
"2370","11-34-637-05914-644993",99,"644993",NA
"2371","11-35-638-05918-645195",99,"645195",NA
"2372","11-35-639-05921-645439",99,"645439",NA
"2373","11-35-640-05923-645529",99,"645529",NA
"2374","11-35-640-05923-645550",99,"645550",NA
"2375","11-35-640-05924-645558",99,"645558",NA
